95143,95143 Portable 13 Beverage Cart,"24 Willie Mays Pl Lower Cent Fd, Sect 140",San Francisco,CA,94107,,,,,95143_20180326,2018 Mar 26 12:00:00 AM,,Routine - Unscheduled,,,
100096,THE LITTLE CHIHUAHUA MEXICAN RESTAURANT,475 06TH ST K16,San Francisco,CA,94103,,,,,100096_20190430,2019 Apr 30 12:00:00 AM,,New Ownership,,,
64738,Japacurry,Public,San Francisco,CA,CA,37.777122,-122.419639,POINT (-122.419639 37.777122),,64738_20190222,2019 Feb 22 12:00:00 AM,,Reinspection/Followup,,,
82677,Fish and Farm,424 Clay St,San Francisco,CA,94111,,,,,82677_20190307,2019 Mar 07 12:00:00 AM,,Reinspection/Followup,,,
949,BUFFALO BURGERS RESTAURANT,5317-19 Geary Blvd,San Francisco,CA,94121,37.780372,-122.476354,POINT (-122.476354 37.780372),,949_20190315,2019 Mar 15 12:00:00 AM,,Reinspection/Followup,,,
1065,UNIVERSAL CAFE,2814 19th St,San Francisco,CA,94110,37.760487,-122.410662,POINT (-122.410662 37.760487),,1065_20180718,2018 Jul 18 12:00:00 AM,,Reinspection/Followup,,,
91457,Tin Vietnamese Cuisine,937 Howard St,San Francisco,CA,94103,,,,,91457_20181010,2018 Oct 10 12:00:00 AM,,New Ownership - Followup,,,
98229,MOM BANH MI,411 ELLIS ST,San Francisco,CA,94102,,,,14155624289,98229_20190513,2019 May 13 12:00:00 AM,,Reinspection/Followup,,,
74922,Le Marais Bakery,2066 Chestnut St,San Francisco,CA,94123,,,,,74922_20180104,2018 Jan 04 12:00:00 AM,,Reinspection/Followup,,,
94894,Wing Lee Bakery,503 Clement St,San Francisco,CA,94118,,,,,94894_20190128,2019 Jan 28 12:00:00 AM,86,Routine - Unscheduled,94894_20190128_103139,Improper food storage,Low Risk
3458,Raven Bar,1151 Folsom St.,San Francisco,CA,94103,37.775833,-122.408915,POINT (-122.408915 37.775833),,3458_20180523,2018 May 23 12:00:00 AM,,Non-inspection site visit,,,
95961,DIJON BURGER,1428 Polk St,San Francisco,CA,94109,,,,,95961_20180802,2018 Aug 02 12:00:00 AM,100,Routine - Unscheduled,,,
3587,SUPERIOR PALACE SEAFOOD REST.,3546 BALBOA St,San Francisco,CA,94121,37.775758,-122.497041,POINT (-122.497041 37.775758),,3587_20170127,2017 Jan 27 12:00:00 AM,,Complaint,,,
75258,The Battery - Main Kitchen,717 Battery St 1st Floor,San Francisco,CA,94111,,,,,75258_20170227,2017 Feb 27 12:00:00 AM,,Non-inspection site visit,,,
87107,Russian Renaissance Restaurant,5241 Geary Blvd,San Francisco,CA,94118,,,,14155758558,87107_20171103,2017 Nov 03 12:00:00 AM,,Reinspection/Followup,,,
82345,Blaze Pizza Fast-Fire'd,3251 20th Ave #157,San Francisco,CA,94132,,,,14156585880,82345_20190829,2019 Aug 29 12:00:00 AM,,Complaint,,,
3838,CAFE PICARO,3120 16th St,San Francisco,CA,94103,37.764908,-122.422442,POINT (-122.422442 37.764908),14155434089,3838_20170207,2017 Feb 07 12:00:00 AM,,Complaint,,,
82483,Underground Grill Kings,2543 Noriega St,San Francisco,CA,94122,,,,14150608659,82483_20171018,2017 Oct 18 12:00:00 AM,,Non-inspection site visit,,,
